6-monthly,Cause of injury,State or territory,Calendar year,Breakdown value,Hospitalisations,Bed days,Breakdown type,Data level
Jan-Jun,Traffic,NSW,2011,0-7,100,222,Age group,State/Territory
Jan-Jun,Traffic,NSW,2011,17-25,1173,5029,Age group,State/Territory
Jan-Jun,Traffic,NSW,2011,26-39,1255,4630,Age group,State/Territory
Jan-Jun,Traffic,NSW,2011,40-64,1602,7448,Age group,State/Territory
Jan-Jun,Traffic,NSW,2011,65-74,341,2969,Age group,State/Territory
Jan-Jun,Traffic,NSW,2011,75+,338,3770,Age group,State/Territory
Jan-Jun,Traffic,NSW,2011,8-16,414,2021,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,0-7,76,218,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,17-25,1055,3001,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,26-39,1159,3790,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,40-64,1483,5346,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,65-74,275,1557,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,75+,262,2178,Age group,State/Territory
Jan-Jun,Traffic,VIC,2011,8-16,275,609,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,0-7,96,249,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,17-25,735,3258,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,26-39,686,3414,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,40-64,925,4479,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,65-74,156,937,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,75+,119,871,Age group,State/Territory
Jan-Jun,Traffic,QLD,2011,8-16,300,759,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,0-7,39,336,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,17-25,443,1933,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,26-39,391,2117,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,40-64,523,3387,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,65-74,99,457,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,75+,82,529,Age group,State/Territory
Jan-Jun,Traffic,WA,2011,8-16,147,625,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,0-7,23,30,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,17-25,260,1039,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,26-39,254,1675,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,40-64,405,2428,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,65-74,59,376,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,75+,71,602,Age group,State/Territory
Jan-Jun,Traffic,SA,2011,8-16,75,296,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,0-7,14,49,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,17-25,64,367,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,26-39,43,217,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,40-64,71,424,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,65-74,14,98,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,75+,18,152,Age group,State/Territory
Jan-Jun,Traffic,TAS,2011,8-16,23,53,Age group,State/Territory
Jan-Jun,Traffic,ACT,2011,17-25,68,390,Age group,State/Territory
Jan-Jun,Traffic,ACT,2011,26-39,79,292,Age group,State/Territory
Jan-Jun,Traffic,ACT,2011,40-64,83,417,Age group,State/Territory
Jan-Jun,Traffic,ACT,2011,65-74,10,104,Age group,State/Territory
Jan-Jun,Traffic,ACT,2011,8-16,22,112,Age group,State/Territory
Jan-Jun,Traffic,NT,2011,17-25,59,290,Age group,State/Territory
Jan-Jun,Traffic,NT,2011,26-39,64,487,Age group,State/Territory
Jan-Jun,Traffic,NT,2011,40-64,52,563,Age group,State/Territory
Jan-Jun,Traffic,NT,2011,65-74,8,188,Age group,State/Territory
Jan-Jun,Traffic,NT,2011,8-16,26,197,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,0-7,104,563,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,17-25,1329,4813,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,26-39,1207,4557,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,40-64,1750,8361,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,65-74,314,2294,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,75+,350,2743,Age group,State/Territory
Jul-Dec,Traffic,NSW,2011,8-16,341,924,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,0-7,73,175,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,17-25,1092,3015,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,26-39,1199,3968,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,40-64,1531,6044,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,65-74,306,1304,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,75+,282,1892,Age group,State/Territory
Jul-Dec,Traffic,VIC,2011,8-16,258,827,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,0-7,101,217,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,17-25,764,2805,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,26-39,771,3312,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,40-64,1011,4856,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,65-74,174,960,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,75+,152,1467,Age group,State/Territory
Jul-Dec,Traffic,QLD,2011,8-16,332,949,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,0-7,45,116,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,17-25,413,2128,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,26-39,432,2266,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,40-64,525,3116,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,65-74,84,461,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,75+,72,400,Age group,State/Territory
Jul-Dec,Traffic,WA,2011,8-16,147,614,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,0-7,21,56,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,17-25,267,879,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,26-39,287,1238,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,40-64,369,2007,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,65-74,84,579,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,75+,98,606,Age group,State/Territory
Jul-Dec,Traffic,SA,2011,8-16,86,221,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,0-7,6,22,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,17-25,62,414,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,26-39,54,474,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,40-64,72,505,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,65-74,13,95,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,75+,16,156,Age group,State/Territory
Jul-Dec,Traffic,TAS,2011,8-16,23,80,Age group,State/Territory
Jul-Dec,Traffic,ACT,2011,0-7,5,10,Age group,State/Territory
Jul-Dec,Traffic,ACT,2011,17-25,50,111,Age group,State/Territory
Jul-Dec,Traffic,ACT,2011,26-39,63,220,Age group,State/Territory
Jul-Dec,Traffic,ACT,2011,40-64,94,312,Age group,State/Territory
Jul-Dec,Traffic,ACT,2011,8-16,16,281,Age group,State/Territory
Jul-Dec,Traffic,NT,2011,0-7,7,10,Age group,State/Territory
Jul-Dec,Traffic,NT,2011,17-25,60,317,Age group,State/Territory
Jul-Dec,Traffic,NT,2011,26-39,70,278,Age group,State/Territory
Jul-Dec,Traffic,NT,2011,40-64,72,459,Age group,State/Territory
Jul-Dec,Traffic,NT,2011,8-16,28,88,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,0-7,113,630,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,17-25,1277,4476,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,26-39,1281,4766,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,40-64,1763,8344,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,65-74,315,2135,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,75+,328,2361,Age group,State/Territory
Jan-Jun,Traffic,NSW,2012,8-16,353,973,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,0-7,67,185,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,17-25,1121,2909,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,26-39,1178,3604,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,40-64,1456,4853,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,65-74,302,1592,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,75+,296,2242,Age group,State/Territory
Jan-Jun,Traffic,VIC,2012,8-16,249,622,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,0-7,96,220,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,17-25,763,2991,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,26-39,731,3025,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,40-64,982,4850,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,65-74,171,1357,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,75+,150,1048,Age group,State/Territory
Jan-Jun,Traffic,QLD,2012,8-16,273,825,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,0-7,43,184,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,17-25,373,1965,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,26-39,465,2388,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,40-64,495,2645,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,65-74,70,308,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,75+,87,607,Age group,State/Territory
Jan-Jun,Traffic,WA,2012,8-16,159,723,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,0-7,21,51,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,17-25,262,1138,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,26-39,228,1292,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,40-64,378,2270,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,65-74,71,408,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,75+,84,700,Age group,State/Territory
Jan-Jun,Traffic,SA,2012,8-16,63,238,Age group,State/Territory
Jan-Jun,Traffic,TAS,2012,0-7,8,9,Age group,State/Territory
Jan-Jun,Traffic,TAS,2012,17-25,68,377,Age group,State/Territory
Jan-Jun,Traffic,TAS,2012,26-39,53,316,Age group,State/Territory
Jan-Jun,Traffic,TAS,2012,40-64,80,414,Age group,State/Territory
Jan-Jun,Traffic,TAS,2012,65-74,16,193,Age group,State/Territory
