year,roadUser,sex,hospitalisations
2011,Bus occupant,Female,140
2011,Bus occupant,Male,74
2011,Car,Female,8263
2011,Car,Male,8427
2011,Heavy transport,Female,34
2011,Heavy transport,Male,528
2011,Motorcyclist,Female,737
2011,Motorcyclist,Male,6828
2011,Other,Female,188
2011,Other,Male,422
2011,Pedal cyclist,Female,1125
2011,Pedal cyclist,Male,4266
2011,Pedestrian,Female,1173
2011,Pedestrian,Male,1581
2011,Pick-up / van,Female,52
2011,Pick-up / van,Male,195
2012,Bus occupant,Female,129
2012,Bus occupant,Male,88
2012,Car,Female,8117
2012,Car,Male,8322
2012,Heavy transport,Female,29
2012,Heavy transport,Male,482
2012,Motorcyclist,Female,774
2012,Motorcyclist,Male,6954
2012,Other,Female,194
2012,Other,Male,369
2012,Pedal cyclist,Female,1182
2012,Pedal cyclist,Male,4439
2012,Pedestrian,Female,1113
2012,Pedestrian,Male,1559
2012,Pick-up / van,Female,55
2012,Pick-up / van,Male,218
2013,Bus occupant,Female,134
2013,Bus occupant,Male,92
2013,Car,Female,8426
2013,Car,Male,8161
2013,Heavy transport,Female,19
2013,Heavy transport,Male,465
2013,Motorcyclist,Female,827
2013,Motorcyclist,Male,7190
2013,Other,Female,176
2013,Other,Male,360
2013,Pedal cyclist,Female,1317
2013,Pedal cyclist,Male,4945
2013,Pedestrian,Female,1104
2013,Pedestrian,Male,1553
2013,Pick-up / van,Female,39
2013,Pick-up / van,Male,191
2014,Bus occupant,Female,204
2014,Bus occupant,Male,85
2014,Car,Female,8463
2014,Car,Male,8012
2014,Heavy transport,Female,40
2014,Heavy transport,Male,440
2014,Motorcyclist,Female,838
2014,Motorcyclist,Male,7496
2014,Other,Female,161
2014,Other,Male,347
2014,Pedal cyclist,Female,1418
2014,Pedal cyclist,Male,5218
2014,Pedestrian,Female,1124
2014,Pedestrian,Male,1430
2014,Pick-up / van,Female,46
2014,Pick-up / van,Male,193
2015,Bus occupant,Female,145
2015,Bus occupant,Male,101
2015,Car,Female,9287
2015,Car,Male,8645
2015,Heavy transport,Female,16
2015,Heavy transport,Male,494
2015,Motorcyclist,Female,881
2015,Motorcyclist,Male,7417
2015,Other,Female,185
2015,Other,Male,318
2015,Pedal cyclist,Female,1425
2015,Pedal cyclist,Male,5291
2015,Pedestrian,Female,1177
2015,Pedestrian,Male,1450
2015,Pick-up / van,Female,45
2015,Pick-up / van,Male,204
2016,Bus occupant,Female,175
2016,Bus occupant,Male,108
2016,Car,Female,9799
2016,Car,Male,9306
2016,Heavy transport,Female,25
2016,Heavy transport,Male,459
2016,Motorcyclist,Female,904
2016,Motorcyclist,Male,7622
2016,Other,Female,244
2016,Other,Male,376
2016,Pedal cyclist,Female,1519
2016,Pedal cyclist,Male,5385
2016,Pedestrian,Female,1222
2016,Pedestrian,Male,1521
2016,Pick-up / van,Female,64
2016,Pick-up / van,Male,234
2017,Bus occupant,Female,176
2017,Bus occupant,Male,89
2017,Car,Female,9981
2017,Car,Male,9165
2017,Heavy transport,Female,34
2017,Heavy transport,Male,494
2017,Motorcyclist,Female,871
2017,Motorcyclist,Male,7868
2017,Other,Female,222
2017,Other,Male,378
2017,Pedal cyclist,Female,1509
2017,Pedal cyclist,Male,5567
2017,Pedestrian,Female,1228
2017,Pedestrian,Male,1486
2017,Pick-up / van,Female,62
2017,Pick-up / van,Male,209
2018,Bus occupant,Female,149
2018,Bus occupant,Male,98
2018,Car,Female,10195
2018,Car,Male,9470
2018,Heavy transport,Female,35
2018,Heavy transport,Male,518
2018,Motorcyclist,Female,894
2018,Motorcyclist,Male,7729
2018,Other,Female,230
2018,Other,Male,373
2018,Pedal cyclist,Female,1523
2018,Pedal cyclist,Male,5434
2018,Pedestrian,Female,1194
2018,Pedestrian,Male,1467
2018,Pick-up / van,Female,53
2018,Pick-up / van,Male,226
2019,Bus occupant,Female,156
2019,Bus occupant,Male,98
2019,Car,Female,10334
2019,Car,Male,8933
2019,Heavy transport,Female,38
2019,Heavy transport,Male,486
2019,Motorcyclist,Female,980
2019,Motorcyclist,Male,7944
2019,Other,Female,237
2019,Other,Male,383
2019,Pedal cyclist,Female,1517
2019,Pedal cyclist,Male,5785
2019,Pedestrian,Female,1189
2019,Pedestrian,Male,1524
2019,Pick-up / van,Female,48
2019,Pick-up / van,Male,212
2020,Bus occupant,Female,101
2020,Bus occupant,Male,72
2020,Car,Female,8580
2020,Car,Male,8708
2020,Heavy transport,Female,31
2020,Heavy transport,Male,469
2020,Motorcyclist,Female,931
2020,Motorcyclist,Male,7752
2020,Other,Female,220
2020,Other,Male,362
2020,Pedal cyclist,Female,1946
2020,Pedal cyclist,Male,6385
2020,Pedestrian,Female,913
2020,Pedestrian,Male,1189
2020,Pick-up / van,Female,59
2020,Pick-up / van,Male,241
2021,Bus occupant,Female,109
2021,Bus occupant,Male,60
2021,Car,Female,9636
2021,Car,Male,8903
2021,Heavy transport,Female,31
2021,Heavy transport,Male,444
2021,Motorcyclist,Female,992
2021,Motorcyclist,Male,7891
2021,Other,Female,194
2021,Other,Male,407
2021,Pedal cyclist,Female,1737
2021,Pedal cyclist,Male,6425
2021,Pedestrian,Female,945
2021,Pedestrian,Male,1389
2021,Pick-up / van,Female,72
2021,Pick-up / van,Male,269
